V,I,,,,,,,,,,,,,,
1272.861,0,,,,,,,,,,,,,,
1208.637,-1.529,,,,,,,,,,,,,,
1302.527,-11.927,,,,,,,,,,,,,,
1273.473,-0.917,,,,,,,,,,,,,,
1228.822,4.282,,,,,,,,,,,,,,
1280.507,-3.976,,,,,,,,,,,,,,
1394.582,-1.529,,,,,,,,,,,,,,
1272.556,-0.306,,,,,,,,,,,,,,
1208.943,-1.835,,,,,,,,,,,,,,
1305.891,-13.151,,,,,,,,,,,,,,
1272.556,-1.529,,,,,,,,,,,,,,
1226.681,4.893,,,,,,,,,,,,,,
1281.119,-4.282,,,,,,,,,,,,,,
1392.135,-1.223,,,,,,,,,,,,,,
1272.556,-0.917,,,,,,,,,,,,,,
1208.637,-2.752,,,,,,,,,,,,,,
1307.114,-12.539,,,,,,,,,,,,,,
1272.556,-1.529,,,,,,,,,,,,,,
1225.458,4.282,,,,,,,,,,,,,,
1283.871,-4.282,,,,,,,,,,,,,,
1391.829,-2.141,,,,,,,,,,,,,,
1272.25,0.306,,,,,,,,,,,,,,
1212.919,-3.364,,,,,,,,,,,,,,
1319.042,-12.845,,,,,,,,,,,,,,
1272.25,-0.917,,,,,,,,,,,,,,
1223.317,4.587,,,,,,,,,,,,,,
1286.624,-3.67,,,,,,,,,,,,,,
1378.373,-1.835,,,,,,,,,,,,,,
1272.25,1.529,,,,,,,,,,,,,,
1208.637,-3.058,,,,,,,,,,,,,,
1325.77,-11.01,,,,,,,,,,,,,,
1267.357,-0.917,,,,,,,,,,,,,,
1223.929,3.976,,,,,,,,,,,,,,
1282.342,-5.811,,,,,,,,,,,,,,
1341.979,-1.223,,,,,,,,,,,,,,
1267.662,2.752,,,,,,,,,,,,,,
1218.118,-2.752,,,,,,,,,,,,,,
1329.746,-8.257,,,,,,,,,,,,,,
1268.274,-1.223,,,,,,,,,,,,,,
1179.278,2.752,,,,,,,,,,,,,,
1284.177,-6.422,,,,,,,,,,,,,,
1267.357,-0.917,,,,,,,,,,,,,,
1267.662,3.976,,,,,,,,,,,,,,
1222.4,-2.752,,,,,,,,,,,,,,
1333.416,-4.587,,,,,,,,,,,,,,
1268.274,-1.529,,,,,,,,,,,,,,
1182.642,2.141,,,,,,,,,,,,,,
1284.177,-5.811,,,,,,,,,,,,,,
1268.886,-0.917,,,,,,,,,,,,,,
1268.274,5.199,,,,,,,,,,,,,,
1232.492,-3.364,,,,,,,,,,,,,,
1335.251,-0.306,,,,,,,,,,,,,,
1268.274,-1.223,,,,,,,,,,,,,,
1161.845,1.529,,,,,,,,,,,,,,
1285.095,-6.422,,,,,,,,,,,,,,
1270.721,-1.529,,,,,,,,,,,,,,
1267.051,4.893,,,,,,,,,,,,,,
1233.41,-2.752,,,,,,,,,,,,,,
1332.804,-1.529,,,,,,,,,,,,,,
1268.886,-0.612,,,,,,,,,,,,,,
1164.292,0.917,,,,,,,,,,,,,,
1284.177,-6.728,,,,,,,,,,,,,,
1268.274,-1.835,,,,,,,,,,,,,,
1268.274,5.199,,,,,,,,,,,,,,
